year,log_compute,compute_flop,model
2012,17.778151250383644,6e+17,DNN EM segmentation
2013,18.417095529308064,2.612736e+18,DistBelief NNLM
2014,20.4736329268753,2.97600000001e+20,SNM-skip
2015,20.57978359661681,3.8e+20,AlphaGo Fan
2016,21.820857989439766,6.620000000001e+21,GNMT
2017,20.92582757462474,8.43e+20,AlphaGo Zero
2018,21.9417076655489,8.74395e+21,ResNeXt-101 32x48d
2019,23.032352784880736,1.0773400001e+23,OpenAI Five
2020,23.496929648073216,3.14e+23,GPT-3 175B (davinci)
2021,24.311117842662505,2.047e+24,FLAN 137B
2022,24.4379882502195,2.7415e+24,"GPT-3.5 (davinci-002)
"
2023,25.698970004344705,5.0000000001e+25,Gemini 1.0 Ultra
2024,25.57978359661681,3.8e+25,Doubao-pro
2025,26.698970004336026,5.0000000000001e+26,Grok 4
